Featured,Track,Name1,JobTitle1,Company1,Name2,JobTitle2,Company2,Title,Abstract,LinkedIn1,Twitter1,LinkedIn2,Twitter2,Slides,Picture,YouTube,Keywords,Duration
Yes,,Ciara Carey,Developer Relations,Cloudsmith,,,,The Future is Cloud-native and Your Organization Should Be Too,"In 2022, your entire tech stack is likely in the Cloud - so why aren’t your software packages? 

Whether you’re currently on-premise, have your own in-house solution or have a bit of a hybrid set up, join Ciara Carey, Developer Relations at Coudsmith in this session to explore: 
Why enterprise organizations are making the move from on-premise solutions to completely cloud-native ones

- What are the benefits of cloud-native over cloud-hosted
- What to consider when building a cloud-native, continuous software pipeline
- How you can easily integrate Cloudsmith into your current setup",https://www.linkedin.com/in/ciara-carey-7540173/,@Ciara_Carey_,,,,cloud_ciara_carey.png,,future is cloud-native your organization,30
Yes,,Ana Van Straaten,DevOps Engineer,Globant,,,,Preparing for disaster: going Multi-Region,"Even with high availability, things can fail. Migrating legacy services running in only one region with no fault tolerance, have a big chance of downtime in the best case scenario. 

What steps must we take to get to a real 99.99% uptime?",https://www.linkedin.com/in/ana-van-straaten-4798976b,,,,,cloud_ana_van_straaten.png,,going multi region,30
Yes,,Rajalakshmi Srinivasan,Director - Product Management,"Site24x7, Zoho Corp.",,,,Optimizing operations and container lifecycle management,"Modern applications are built to run on containerized infrastructure. Businesses are migrating their existing apps from traditional to container deployments. 

In such a scenario, gaining end-to-end visibility of the complete container environment is a serious challenge for the IT Operators/Administrators. In this talk, we will cover the following: 

- New-age business complexities
- How applications are moving from monolith to microservice architecture.
- Operational challenges in monitoring the container architecture.
- Strategies to manage the life cycle of the containers efficiently.

[Try out Site 24x7](https://www.site24x7.com/promo-signup.html?pack=1006&utm_source=conf42_2022). Your first six months is on us!",https://www.linkedin.com/in/raji-zoho/,@raji_zoho,,,,cloud_rajalakshmi_srinivasan.png,,operations container lifecycle,30
Yes,,Josh Stella,Chief Architect,Snyk,,,,Understanding Cloud Control Plane Compromise Attacks,"When the headline reads “Cloud Breach Due to Misconfiguration”, this is only a small part of the story, causing teams to focus solely on eliminating cloud resource misconfigurations and getting a false sense of security. 

What’s missing in these stories is the series of moves attackers make to discover knowledge about the cloud environment, move laterally, and ultimately extract data without detection. When they gain access to an environment, they’re after API keys that enable them to begin operating against the API control plane of the cloud provider. And once a control plane compromise attack begins, it’s too late to stop it. 

In this session, Josh Stella - Chief Architect at Snyk - will deconstruct how control plane compromise attacks go down in the cloud, and how teams can recognize and address the architectural design flaws in their cloud environment that make them vulnerable. 

You’ll walk away from this session with an understanding of:

- How cloud hackers think and operate in order to steal data
- What questions you should be asking about the security of your cloud environment
- Why cloud security is a design problem, and what secure cloud design looks like",https://www.linkedin.com/in/josh-stella-949a9711/,@joshstella,,,,cloud_josh_stella.png,,cloud control plane compromise attacks,30
Yes,,Nick Bergam,Solutions Engineer,Teleport,,,,Trust by verify - how to provide secure access to your team,"Security is… well… complex. When it comes to accessing cloud resources, VPN’s have become a popular tool to solve that piece of the security puzzle. But how do traditional VPN’s hold up to today’s evolving threat landscape, and which alternatives should security-minded engineers consider?

Speaker bio: Nicholas currently works as a solutions engineer at Teleport, helping companies solve their access management questions for cloud infrastructure. Nicholas also has experience managing various network hardening and information security projects for the United States Army, where he continues to serve.",https://www.linkedin.com/in/nicholas-bergam/,,,,,cloud_nicholas_bergam.png,,trust by verify provide secure access,30
No,getting started,Rosemary Wang,Developer Advocate,HashiCorp,,,,A Developer’s Introduction to Service Mesh,"In the ideal development practice, we secure, shape, and observe traffic between services with a **single** line of code. However, most environments have multiple types of applications running many versions across diverse workloads and platforms, from containers to public cloud to private datacenter. With so many platforms and application frameworks, you cannot use the same code libraries across all services to shape traffic, secure communications, or enhance observability. How can we reduce the development and operational complexity?

In this session, you dive into why and how a service mesh can alleviate the management complexity of shaping, securing, and observing traffic across multiple platforms and environments. First, I'll provide a short introduction to the session's setup, which uses HashiCorp Consul and Envoy proxy on Kubernetes. Then, you will learn how to implement and debug traffic shaping and certificate management in the mesh. Finally, you will configure tracing and metrics collection for your service mesh application and examine the telemetry in Prometheus and Jaeger. We'll compare the experience of using a service mesh to various programming language implementations and discuss how to extend the mesh across different workloads.",https://www.linkedin.com/in/rosemarywang/,@joatmon08,,,,cloud_rosemary_wang.png,,introduction service mesh,
No,getting started,Obinna Odirionye,Kubernetes Engineer,Kubermatic,,,,The Power of Serverless on Kubernetes,"Even today, developers still have to worry about scaling pods, better performance, making deployments faster, and using fewer resources. Knative enables serverless workloads to run on Kubernetes clusters, providing tools and utilities that make building, deploying, and managing containerized applications within Kubernetes simpler. In addition, Knative allows pods with no traffic to scale down to zero, giving you more resources to host other applications. 

In this talk, Obinna will teach the attendees how to set up Knative to their  Kubernetes cluster, run a serverless workload and see it scale on-demand, and set up more deployment strategies like Canary rollouts.",https://www.linkedin.com/in/odirionye/,@odirionyeo,,,,cloud_obinna_odirionye.png,,serverless kubernetes,
No,getting started,Jason Belk,Senior Technical Advocate,Cisco,,,,Introduction to Ansible for Network Engineers,"When getting started with network automation, Ansible is a super useful tool to learn. It will provide a helpful platform and framework for connecting to network devices in a secure way to make configuration changes, read operational data and build reports. You can run Ansible locally on your laptop and connect to a ton of devices to save time in your next change window, even if it is just grabbing “show” commands to put into a file and view the differences between the state before and after your change. Ansible was originally designed for compute and cloud engineers, so this session is focused on how to learn it from a network engineer’s perspective, assuming no previous knowledge",https://www.linkedin.com/in/renobelk/,@CiscoDevNet,,,,cloud_jason_belk.png,,ansible network engineers,
No,getting started,Jason Dudash,Chief Architect,Red Hat,,,,An Introduction to Service Mesh in Action,"Have you heard the term service mesh but have no idea what that means? Are you architecting, developing, or responsible for running distributed applications? This talk will make you smarter on concepts around service mesh technology. We also will get a little nerdy and explore the awesome platform capabilities you get from an Istio based service mesh running containerized applications and services.

**Why?**
As modern applications move toward microservices based architectures the importance of a platform to back both the development and operational work grows. Development teams struggle with building, debugging, and connecting services properly. And application operations teams face increasing challenges with securing hybrid deployments, scaling bottlenecks, recovering from failure, and gathering metrics. 

This session will feature an introduction to the technology and also give a demo showcasing key capabilities a service mesh platform brings to connect, secure, and observe microservice based applications.",https://www.linkedin.com/in/jasondudash/,@dudashtweets,,,,cloud_jason_dudash.png,,service mesh in action,
No,getting started,Naor Paz,Director of Product,Firefly,,,,From Ghost Assets to Infrastructure Drift - Don't Get Spooked,"There's a lot of confusion in the infrastructure operations world regarding emerging concepts such as state drift, ghost assets, and other cloud operations nightmares. In this talk we're going to demystify the differences between all of these concepts that are the byproduct of large-scale, rapid adoption and growth of cloud operations. Cloud operation were widely impacted by the introduction of Infrastructure as Code practices which changed the way we manage our cloud. That said, cloud deployments that predate IaC were often not codified and managed via UI or cloud APIs - which has led to a mishmash in the way cloud resources are managed and maintained today.  We will go on to focus on how and when ghost assets happen, why you might have these haunting assets and what to do about them - hopefully without spooking you out too much.

We'll wrap up with some real code examples of what ghost assets looks like, when you should be concerned - from the cost to the security implications, as well as how to fix them and prevent any ghosts in your closet in the future. Boooo!",https://www.linkedin.com/in/naorpaz/,@gofireflyio,,,,cloud_naor_paz.png,,ghost assets infrastructure drift,
